Epiweek_start,I1sum,I1new,I2sum,I2new
2023/3/26,3,3,86,86
2023/4/2,5,2,142,56
2023/4/9,7,2,198,56
2023/4/16,8,1,264,66
2023/4/23,12,4,321,57
2023/4/30,19,7,367,46
2023/5/7,22,3,402,35
2023/5/14,26,4,417,15
2023/5/21,37,11,438,21
2023/5/28,50,13,448,10
2023/6/4,55,5,458,10
2023/6/11,65,10,473,15
2023/6/18,74,9,483,10
2023/6/25,82,8,493,10
2023/7/2,86,4,496,3
2023/7/9,93,7,501,5
2023/7/16,104,11,503,2
2023/7/23,114,10,507,4
2023/7/30,118,4,509,2
2023/8/6,126,8,511,2
2023/8/13,134,8,521,10
2023/8/20,142,8,529,8
2023/8/27,154,12,532,3
2023/9/3,168,14,533,1
2023/9/10,197,29,538,5
2023/9/17,215,18,561,23
2023/9/24,229,14,573,12
2023/10/1,244,15,582,9
2023/10/8,251,7,596,13
2023/10/15,257,6,610,15
2023/10/22,267,10,618,8
2023/10/29,273,6,622,4
2023/11/5,277,4,629,7
2023/11/12,281,4,634,5
2023/11/19,288,7,641,7
2023/11/26,289,1,645,4
2023/12/3,291,2,646,1
2023/12/10,302,11,649,3
2023/12/17,304,2,649,0
2023/12/24,307,3,652,3
2023/12/31,307,0,652,0
2024/1/7,307,0,652,0
